age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
42,3.16,6.42,6.03,6.57,7.26,72.01,Low,YouTube Shorts
28,0.85,3.92,4.38,3.23,2.95,79.82,Low,Instagram Reels
32,3.53,6.5,6.99,8.44,3.62,64.78,Medium,TikTok
40,5.13,3.57,7.21,1.55,2.49,63.09,Medium,YouTube Shorts
23,5.98,7.59,8.08,9.57,9.29,72.55,Medium,YouTube Shorts
40,2.87,8.64,5.44,1.43,5.7,94.4,Low,YouTube Shorts
35,2.26,2.62,8.91,3.17,9.79,55.66,High,YouTube Shorts
16,5.49,10.71,6.2,5.18,5.04,63.94,Low,Instagram Reels
34,1.55,3.85,5.48,7.8,5.97,79.19,High,Instagram Reels
42,3.88,4.25,5.74,9.56,8.1,51.16,High,Instagram Reels
29,2.73,8.61,6.6,4.85,8.18,90.09,Medium,TikTok
42,0.73,6.69,8.68,7.82,3.08,79.96,Low,TikTok
21,2.41,6.99,7.68,7.54,3.59,61.14,High,YouTube Shorts
26,1.96,3.28,6.89,6.14,1.88,83.33,Medium,TikTok
43,4.27,10.06,4.81,7.22,8.25,56.76,Medium,Instagram Reels
22,5.72,8.17,4.75,1.34,8.14,86.47,Low,Instagram Reels
29,1.97,3.35,6.51,4.97,1.73,44.24,Medium,Instagram Reels
17,4.96,5.74,7.64,8.07,3.32,65.61,Low,Instagram Reels
28,0.8,10.1,7.76,5.27,5.05,55.7,Medium,Instagram Reels
31,3.46,7.68,5.13,8.86,5.88,89.0,Low,YouTube Shorts
18,0.89,3.09,4.5,8.5,5.7,85.16,Medium,Instagram Reels
32,5.64,5.73,5.92,8.77,9.85,90.51,High,Instagram Reels
22,4.71,4.43,8.59,2.17,7.88,79.09,Low,Instagram Reels
18,4.12,7.17,6.73,3.2,2.02,87.72,High,YouTube Shorts
16,5.03,10.43,5.6,1.27,3.64,66.33,Low,Instagram Reels
44,4.06,6.36,5.62,9.85,4.11,80.68,Low,TikTok
20,5.83,6.33,4.66,3.13,3.84,41.87,Low,YouTube Shorts
36,4.43,11.05,6.37,4.3,8.07,92.84,Medium,YouTube Shorts
24,5.59,7.76,7.96,3.47,4.25,81.09,High,Instagram Reels
18,3.34,7.66,8.84,1.36,5.43,91.97,Medium,Instagram Reels
36,1.14,4.62,6.51,3.35,5.8,86.25,Low,Instagram Reels
43,3.4,8.08,4.84,1.88,3.43,57.18,High,YouTube Shorts
32,1.2,7.76,7.41,4.55,3.9,56.37,High,YouTube Shorts
40,3.76,5.97,7.78,9.7,8.02,87.98,Low,TikTok
26,3.15,11.91,4.36,7.28,8.8,51.08,Medium,Instagram Reels
16,3.92,10.82,8.25,7.36,1.33,46.64,High,Instagram Reels
24,0.56,9.5,8.15,5.08,6.45,40.9,High,Instagram Reels
44,1.57,7.37,6.36,8.3,6.7,57.91,High,YouTube Shorts
18,3.2,6.62,6.8,9.17,7.64,45.96,Medium,YouTube Shorts
28,5.73,3.85,7.57,9.65,7.24,88.1,High,YouTube Shorts
30,2.61,5.06,7.38,1.89,8.9,69.07,Low,YouTube Shorts
29,2.83,9.74,4.08,8.92,1.71,55.15,Medium,YouTube Shorts
22,4.43,6.54,4.61,3.03,4.5,76.13,Low,TikTok
28,3.82,10.82,4.81,4.58,8.04,44.22,High,YouTube Shorts
37,2.14,3.48,7.78,4.11,8.62,83.57,Low,YouTube Shorts
42,2.76,7.08,6.2,7.08,3.38,70.08,Low,TikTok
39,1.7,8.47,6.73,6.38,6.27,40.39,Medium,YouTube Shorts
44,5.81,7.17,7.86,1.98,2.63,59.15,Medium,TikTok
22,1.22,10.89,5.7,8.05,8.66,85.01,Medium,Instagram Reels
35,2.55,11.9,7.74,4.96,7.57,51.29,High,TikTok
30,0.64,3.16,6.21,1.02,3.0,97.71,Medium,Instagram Reels
27,1.72,3.3,5.89,4.73,6.61,93.8,Medium,TikTok
32,4.79,3.3,5.67,5.65,5.58,86.69,Low,Instagram Reels
29,1.61,8.81,8.82,1.62,3.33,44.71,Low,TikTok
35,0.94,5.73,7.86,2.36,9.04,61.23,Low,Instagram Reels
38,3.11,9.33,4.1,9.94,2.33,57.89,Medium,YouTube Shorts
40,0.55,6.05,8.79,8.84,5.21,48.26,Medium,TikTok
39,0.97,8.28,7.88,2.2,6.25,99.98,High,YouTube Shorts
42,4.94,9.7,4.75,6.22,8.41,48.83,Low,TikTok
42,4.74,7.48,4.38,4.41,2.35,58.92,High,YouTube Shorts
42,5.53,7.4,5.54,5.89,6.48,92.81,Medium,Instagram Reels
27,5.2,2.88,7.12,5.23,1.06,48.66,High,Instagram Reels
23,4.26,6.11,7.08,1.43,8.4,68.17,Medium,Instagram Reels
43,0.79,7.46,5.38,3.84,3.11,98.54,Medium,YouTube Shorts
29,4.81,6.62,6.23,2.13,7.49,54.84,High,TikTok
27,5.15,11.01,5.06,5.4,6.42,82.18,Low,YouTube Shorts
15,4.89,11.07,4.25,9.17,1.45,44.8,High,TikTok
39,3.3,10.22,6.58,9.96,2.65,76.05,Low,Instagram Reels
21,1.78,5.75,5.73,9.5,3.41,60.34,Low,TikTok
23,5.15,9.17,6.71,9.87,8.98,81.97,Medium,Instagram Reels
38,4.5,5.95,8.73,1.14,5.33,65.97,High,Instagram Reels
15,5.89,4.33,4.72,7.57,9.22,57.94,Low,YouTube Shorts
26,1.36,5.43,4.01,3.46,1.43,72.76,Medium,YouTube Shorts
22,1.74,2.71,4.38,8.79,1.06,48.38,Low,Instagram Reels
38,1.66,5.32,6.31,8.32,9.53,88.87,Low,Instagram Reels
25,4.86,6.61,7.53,4.81,7.52,85.04,Low,TikTok
33,1.53,11.55,6.9,5.26,8.05,72.7,Medium,Instagram Reels
31,0.87,5.13,6.47,3.39,9.24,62.02,Low,TikTok
22,5.99,11.02,5.77,3.6,9.86,94.91,Medium,YouTube Shorts
17,0.64,4.29,5.55,9.83,1.88,78.07,Medium,Instagram Reels
17,5.09,3.91,5.88,9.0,2.42,57.09,Low,YouTube Shorts
15,2.51,7.19,7.06,2.73,2.7,88.4,Low,TikTok
41,5.13,8.73,4.84,3.48,8.37,78.1,Medium,TikTok
19,3.55,2.44,7.86,1.98,4.2,47.62,Low,Instagram Reels
24,5.46,4.21,6.88,9.9,6.34,46.85,High,Instagram Reels
21,5.59,6.56,5.35,9.16,8.7,96.29,Low,Instagram Reels
40,0.55,5.31,6.51,5.97,7.15,57.27,Low,TikTok
23,0.91,9.13,8.81,7.24,1.59,79.81,High,YouTube Shorts
42,1.88,7.11,4.1,7.73,5.01,42.19,Medium,Instagram Reels
21,4.18,3.6,5.0,2.83,1.61,73.39,Medium,YouTube Shorts
23,5.39,10.94,6.24,9.41,5.31,53.87,Medium,Instagram Reels
22,3.03,4.93,7.19,5.74,2.97,48.38,Medium,YouTube Shorts
26,3.84,9.31,5.06,1.83,1.01,86.41,High,TikTok
16,1.54,9.8,8.66,4.57,8.32,88.57,Medium,Instagram Reels
15,4.93,11.63,7.21,6.41,9.72,82.91,High,TikTok
30,5.82,6.99,8.39,4.18,9.68,40.67,High,TikTok
37,1.98,8.16,5.65,7.29,3.69,57.09,Low,YouTube Shorts
37,3.22,5.35,8.14,8.94,8.46,61.66,Medium,YouTube Shorts
44,0.97,8.78,5.89,7.95,7.11,81.45,Medium,TikTok
38,3.58,6.63,5.26,6.78,8.2,85.33,Low,Instagram Reels
19,3.27,6.38,8.56,5.61,8.62,77.67,Low,YouTube Shorts
17,1.29,10.55,4.46,3.29,9.82,87.35,Medium,TikTok
26,2.93,2.5,8.71,5.09,2.37,65.64,High,TikTok
22,2.34,10.82,6.29,3.64,7.93,72.51,Medium,TikTok
36,3.37,10.52,8.96,9.41,7.61,43.86,Low,Instagram Reels
41,3.72,7.06,6.7,9.17,3.59,65.63,Medium,YouTube Shorts
17,0.55,6.9,7.79,2.4,4.53,65.96,Medium,YouTube Shorts
15,4.69,5.62,4.04,8.4,2.59,76.69,Medium,TikTok
17,4.42,11.94,6.48,7.33,9.22,62.67,High,Instagram Reels
19,2.51,3.11,7.69,9.78,8.91,54.31,High,TikTok
29,0.79,7.9,7.91,5.17,6.53,54.26,Low,YouTube Shorts
28,4.65,8.82,4.79,7.5,5.6,48.03,High,Instagram Reels
17,5.75,11.34,6.09,5.66,3.1,82.06,High,TikTok
15,1.82,9.8,6.1,1.62,8.11,77.35,Low,YouTube Shorts
19,2.28,8.44,4.52,1.42,1.07,74.75,High,YouTube Shorts
40,1.51,3.17,6.22,2.1,5.17,71.86,Low,YouTube Shorts
37,3.67,5.74,8.04,3.67,8.74,62.05,Low,Instagram Reels
28,1.35,3.39,5.5,3.33,6.57,86.12,High,Instagram Reels
21,2.46,10.81,6.16,7.55,6.72,95.32,Medium,YouTube Shorts
41,4.33,9.5,8.8,7.44,1.64,66.4,High,YouTube Shorts
23,3.58,9.58,4.16,9.74,3.58,64.55,Medium,Instagram Reels
29,2.63,8.52,6.96,3.79,7.06,49.76,High,TikTok
29,2.81,7.07,7.72,9.45,1.45,80.24,High,TikTok
40,3.59,3.5,7.8,6.52,3.98,73.49,High,TikTok
24,0.53,5.3,7.58,5.46,4.19,99.28,Medium,YouTube Shorts
42,0.93,3.37,7.63,7.01,5.49,75.06,Medium,YouTube Shorts
27,5.35,9.25,4.3,7.32,4.26,57.32,Low,Instagram Reels
33,0.93,3.6,6.67,2.55,5.09,73.78,Medium,YouTube Shorts
21,4.39,9.02,7.91,7.77,5.92,99.08,Medium,TikTok
31,5.56,8.92,4.47,7.53,2.16,83.4,Medium,YouTube Shorts
34,1.99,6.59,4.06,9.98,2.62,47.71,High,TikTok
43,2.54,3.35,8.07,9.21,8.49,60.59,Medium,Instagram Reels
18,3.63,5.15,7.56,7.16,5.14,57.92,High,Instagram Reels
44,5.35,5.2,6.06,7.41,4.2,91.41,High,Instagram Reels
19,5.68,9.0,8.7,9.51,4.9,76.67,High,Instagram Reels
37,4.57,3.14,7.83,9.7,2.57,88.61,High,Instagram Reels
21,0.98,10.29,8.84,8.44,3.16,50.57,Medium,YouTube Shorts
27,4.18,9.61,8.65,7.91,5.64,94.48,High,TikTok
29,2.76,3.86,6.41,2.0,4.23,43.5,Medium,TikTok
25,3.09,9.19,7.77,8.47,5.28,62.49,Low,TikTok
43,0.77,8.69,7.35,3.28,2.35,40.85,Low,YouTube Shorts
18,1.55,9.48,8.06,6.07,2.41,51.06,High,TikTok
27,4.85,3.89,7.94,4.65,4.46,97.73,Low,TikTok
21,3.0,3.58,4.77,4.11,4.41,44.71,Low,YouTube Shorts
41,2.16,4.36,5.17,3.79,8.95,48.72,Low,TikTok
33,2.61,5.66,5.33,8.7,1.3,95.49,High,YouTube Shorts
36,5.2,9.94,8.09,7.92,9.94,82.61,Low,TikTok
42,4.62,9.38,8.05,5.71,9.61,64.42,High,Instagram Reels
16,2.0,11.25,6.48,6.98,5.88,44.13,Medium,Instagram Reels
24,1.15,2.59,6.9,9.86,7.47,87.1,Low,YouTube Shorts
27,1.89,2.12,8.13,4.58,9.42,69.56,High,YouTube Shorts
44,5.56,8.99,5.56,5.96,3.26,59.38,Medium,YouTube Shorts
39,3.7,4.79,4.25,5.8,3.84,61.65,Low,YouTube Shorts
35,3.43,5.34,6.41,9.42,2.0,70.32,Low,Instagram Reels
20,3.78,7.47,8.57,4.16,6.07,73.07,High,Instagram Reels
42,2.51,3.02,7.95,9.88,2.44,89.09,Low,Instagram Reels
42,4.94,8.43,5.83,3.74,9.38,86.3,Low,YouTube Shorts
26,3.38,5.25,4.32,1.98,4.88,86.02,High,Instagram Reels
26,1.14,8.33,7.18,2.72,9.28,83.76,Medium,Instagram Reels
34,1.21,10.34,8.17,4.84,2.85,85.47,Medium,YouTube Shorts
44,3.45,3.71,7.32,6.85,7.25,80.66,Low,YouTube Shorts
44,5.65,11.31,6.13,5.65,6.83,92.08,High,TikTok
25,2.2,7.31,4.62,4.39,4.6,73.45,Medium,Instagram Reels
40,5.28,11.23,8.55,6.06,9.09,71.25,Medium,YouTube Shorts
37,4.7,4.08,5.38,8.55,4.91,82.08,Medium,Instagram Reels
42,1.86,8.05,5.12,8.55,2.79,49.96,Medium,Instagram Reels
39,0.7,6.04,8.08,7.54,9.79,86.62,High,Instagram Reels
21,1.06,9.74,8.91,9.57,4.97,96.17,Medium,Instagram Reels
44,4.51,8.06,7.3,6.31,2.87,57.78,Medium,YouTube Shorts
15,1.6,6.95,7.12,1.07,4.27,76.66,Medium,TikTok
15,2.54,11.13,5.6,3.62,6.52,41.96,Low,Instagram Reels
39,3.26,5.77,4.1,3.95,5.61,85.95,Medium,TikTok
41,4.49,4.2,4.96,5.93,6.72,73.58,Low,Instagram Reels
44,1.12,8.08,6.92,9.14,6.96,80.42,Medium,TikTok
39,2.74,8.24,4.76,8.54,2.11,48.58,High,YouTube Shorts
34,3.17,6.39,8.42,3.09,3.83,88.57,High,Instagram Reels
27,3.47,6.87,4.94,5.67,7.74,55.36,High,Instagram Reels
23,5.0,11.6,6.61,6.93,6.85,81.09,Low,TikTok
17,1.44,9.33,6.56,9.89,1.8,75.59,Low,YouTube Shorts
21,4.94,3.11,7.02,1.28,3.84,79.23,Medium,Instagram Reels
20,4.31,4.12,5.64,5.17,9.38,43.01,High,TikTok
22,3.56,11.76,8.37,9.89,8.76,84.51,Medium,YouTube Shorts
41,4.35,9.26,6.22,9.79,7.04,87.71,Medium,YouTube Shorts
23,2.77,11.15,7.5,3.98,1.66,68.49,High,TikTok
44,1.26,5.04,7.18,1.0,6.46,64.53,Medium,YouTube Shorts
19,4.16,9.42,4.59,6.28,1.11,60.55,Low,Instagram Reels
15,3.39,9.14,7.11,8.8,6.95,95.67,Low,YouTube Shorts
33,4.02,4.95,6.75,3.92,7.58,85.3,High,YouTube Shorts
24,2.36,7.51,8.49,9.41,5.48,81.92,High,Instagram Reels
26,5.49,8.27,8.4,3.99,1.03,95.54,High,Instagram Reels
38,3.73,6.81,4.75,6.49,7.0,60.93,High,YouTube Shorts
29,0.97,10.27,4.41,7.5,8.38,77.81,Medium,TikTok
41,2.97,10.33,5.47,4.11,6.27,81.16,Medium,Instagram Reels
36,4.66,10.51,8.93,4.17,7.38,99.77,High,Instagram Reels
38,4.87,10.03,4.11,5.23,1.81,65.63,High,TikTok
23,3.22,6.88,7.36,8.52,7.44,64.01,Medium,Instagram Reels
34,5.42,5.81,7.04,1.91,6.53,45.07,Medium,TikTok
31,1.97,10.31,7.23,6.68,3.98,45.91,Low,Instagram Reels
44,2.76,6.9,5.09,7.1,7.17,70.71,Medium,YouTube Shorts
31,5.44,4.46,5.13,6.02,6.81,50.27,High,YouTube Shorts
40,5.43,7.07,6.15,9.42,6.4,44.38,High,TikTok
34,4.27,3.42,4.48,6.42,2.65,97.89,Low,YouTube Shorts
26,5.22,8.92,4.37,6.71,3.67,97.09,Low,TikTok
44,0.99,5.36,4.44,6.4,9.92,59.52,Low,YouTube Shorts
21,5.26,4.61,6.86,7.5,4.9,87.39,Medium,TikTok
16,2.26,11.57,5.99,2.22,1.53,92.35,Medium,TikTok
17,1.48,9.77,5.47,9.05,9.09,67.88,High,YouTube Shorts
31,1.82,9.87,5.58,1.38,2.56,53.42,High,Instagram Reels
19,2.8,8.24,5.04,6.77,4.63,47.79,Low,Instagram Reels
31,1.88,10.39,6.06,6.54,3.5,48.45,Low,TikTok
38,2.26,9.59,5.02,2.87,9.67,87.82,Medium,TikTok
31,1.24,7.99,7.49,1.37,4.4,63.06,High,YouTube Shorts
41,2.13,11.61,4.62,2.25,7.38,81.61,High,YouTube Shorts
31,3.65,3.92,8.74,3.45,6.39,72.32,Low,YouTube Shorts
16,2.93,11.43,4.45,8.94,1.39,63.68,Medium,TikTok
16,2.41,6.01,8.72,8.7,4.46,47.43,High,YouTube Shorts
42,4.61,7.28,8.17,1.57,4.51,60.01,High,YouTube Shorts
36,5.41,3.23,7.4,3.6,9.91,90.41,Medium,YouTube Shorts
37,4.66,7.4,8.56,9.0,8.31,88.68,Low,TikTok
19,2.33,8.11,4.7,3.13,8.71,41.7,Low,TikTok
15,4.59,11.98,4.88,9.96,3.82,48.42,Medium,YouTube Shorts
15,1.34,11.75,5.26,3.31,3.96,85.35,Medium,TikTok
33,1.22,11.66,5.22,7.65,5.64,60.14,Medium,Instagram Reels
44,2.4,5.48,5.55,4.75,6.68,78.62,High,TikTok
16,4.94,11.91,6.88,2.23,7.55,73.76,Medium,YouTube Shorts
35,1.85,6.55,4.14,3.3,8.39,79.12,Low,YouTube Shorts
26,0.85,10.52,5.91,7.08,8.86,43.22,High,TikTok
40,1.22,4.16,5.23,4.03,1.22,95.87,Medium,YouTube Shorts
20,5.22,7.06,7.03,6.44,8.16,41.26,Medium,Instagram Reels
37,3.99,11.66,8.93,2.85,6.5,40.48,Medium,YouTube Shorts
18,1.89,11.47,6.59,5.04,5.79,53.57,Low,TikTok
37,3.55,8.84,6.13,5.61,6.66,99.61,Low,TikTok
25,3.4,9.98,5.84,4.72,8.94,44.35,Low,TikTok
38,4.1,3.76,7.92,2.78,5.91,92.47,High,TikTok
41,1.78,9.22,4.36,5.15,2.46,49.55,Low,YouTube Shorts
31,5.25,8.18,8.8,7.24,4.93,46.55,Medium,TikTok
20,2.2,2.92,6.09,9.68,9.32,86.74,Low,TikTok
38,4.32,3.13,5.57,8.11,8.33,90.8,High,Instagram Reels
19,0.59,3.08,8.87,2.45,2.83,87.53,Low,YouTube Shorts
34,2.55,9.24,8.68,3.45,7.43,54.46,High,Instagram Reels
16,2.43,3.42,7.21,1.71,3.31,92.79,Medium,YouTube Shorts
20,3.49,6.68,4.09,2.22,4.14,44.31,High,TikTok
36,0.9,5.57,7.74,3.26,5.22,60.52,Low,YouTube Shorts
25,4.85,7.51,5.68,2.8,4.97,67.79,Medium,TikTok
30,1.7,9.06,5.94,2.92,1.26,44.06,Low,TikTok
30,4.22,8.85,4.79,3.08,7.97,74.79,Low,Instagram Reels
15,4.92,7.16,6.62,3.71,8.62,73.56,Medium,YouTube Shorts
23,3.59,6.64,7.72,2.13,5.78,99.53,Medium,YouTube Shorts
42,4.57,5.98,5.37,3.5,2.56,77.3,Low,TikTok
41,4.14,10.62,8.69,7.2,3.23,63.85,Medium,Instagram Reels
20,2.46,5.31,4.97,3.13,2.14,87.41,Low,Instagram Reels
30,4.95,4.59,4.33,2.55,2.53,60.1,High,TikTok
43,2.12,9.43,7.22,1.61,8.89,71.97,High,Instagram Reels
17,3.64,5.6,8.25,5.5,5.32,43.33,Low,Instagram Reels
34,4.6,10.47,8.77,8.58,2.0,59.36,High,Instagram Reels
42,2.58,5.28,7.84,1.53,3.29,71.69,Low,TikTok
41,2.17,9.02,5.0,5.88,9.55,82.14,Medium,Instagram Reels
18,3.03,2.45,8.89,6.86,5.58,45.94,High,TikTok
33,5.0,5.86,8.6,6.33,5.64,87.83,Medium,TikTok
40,5.61,5.43,4.82,8.9,5.73,94.01,Low,TikTok
17,3.5,10.17,6.79,8.8,2.0,56.86,Low,YouTube Shorts
33,4.14,11.67,6.78,1.52,9.73,85.92,High,TikTok
34,5.47,6.61,6.21,4.25,1.76,50.82,Medium,YouTube Shorts
21,1.04,10.25,8.92,7.04,7.3,71.4,Low,YouTube Shorts
34,1.78,9.0,4.3,9.57,1.52,87.86,Low,YouTube Shorts
23,4.4,11.67,7.14,8.24,4.99,63.19,Medium,TikTok
15,5.03,10.11,5.03,2.59,9.1,41.58,Medium,Instagram Reels
22,5.21,2.77,6.64,3.51,7.92,72.4,Low,YouTube Shorts
21,2.78,9.13,7.9,7.87,4.01,90.68,Medium,YouTube Shorts
32,0.99,7.35,5.23,5.24,5.96,46.5,High,Instagram Reels
22,2.91,2.16,5.97,5.93,2.49,41.78,Medium,YouTube Shorts
15,1.77,4.51,8.75,6.48,9.61,88.54,High,YouTube Shorts
25,2.1,11.22,7.81,1.93,7.38,56.03,Medium,YouTube Shorts
42,4.75,11.26,6.86,8.7,4.37,61.86,Low,TikTok
39,0.92,9.99,5.11,8.77,3.86,45.22,Low,YouTube Shorts
39,5.05,11.82,6.13,5.21,3.15,45.8,Medium,Instagram Reels
32,2.85,10.07,7.87,6.64,8.08,76.87,Medium,Instagram Reels
37,3.78,2.1,8.1,6.94,4.91,73.13,Low,YouTube Shorts
44,0.99,4.88,5.22,2.71,3.97,57.54,Medium,TikTok
24,2.36,2.31,7.31,2.01,9.15,67.16,Low,YouTube Shorts
17,0.99,2.94,4.48,1.19,2.35,63.29,Low,Instagram Reels
21,5.79,4.19,4.12,9.22,3.37,81.7,Low,Instagram Reels
42,4.94,7.04,6.74,4.11,4.1,91.73,High,Instagram Reels
30,3.03,10.48,5.12,1.77,3.34,85.91,High,TikTok
40,1.73,10.62,4.39,5.19,6.27,40.26,High,YouTube Shorts
30,5.63,8.16,7.65,1.68,6.41,45.97,Low,YouTube Shorts
39,2.4,11.28,6.49,1.77,1.49,65.76,Low,TikTok
34,1.39,7.0,7.98,5.4,2.3,91.11,Medium,YouTube Shorts
42,3.6,10.89,7.32,5.58,2.79,54.22,High,YouTube Shorts
31,5.69,6.54,7.65,6.22,1.63,92.74,Low,Instagram Reels
16,0.52,4.77,5.54,6.91,2.12,46.6,Medium,YouTube Shorts
15,1.81,11.16,5.32,7.01,3.16,44.36,Medium,YouTube Shorts
30,5.66,5.88,7.0,4.9,4.11,94.81,High,Instagram Reels
44,1.44,7.03,5.0,6.79,8.12,49.72,High,YouTube Shorts
26,1.12,5.29,8.08,3.74,2.96,67.83,High,YouTube Shorts
19,3.64,8.63,6.61,4.97,7.03,59.56,Low,YouTube Shorts
19,5.24,11.95,5.13,4.54,1.52,48.86,Low,TikTok
41,3.12,2.26,7.13,3.96,6.92,77.93,High,TikTok
37,5.97,11.0,8.73,3.15,8.15,97.82,Medium,TikTok
23,4.24,2.04,4.41,1.71,6.44,79.49,Low,Instagram Reels
23,0.91,5.64,4.55,5.55,2.81,61.22,Low,Instagram Reels
17,5.96,3.69,8.22,5.84,3.97,82.71,High,YouTube Shorts
33,2.74,9.57,4.55,4.03,8.25,48.59,Low,TikTok
30,2.08,2.51,4.2,9.78,4.89,74.8,High,Instagram Reels
30,3.57,7.53,5.74,6.01,3.3,68.17,Low,YouTube Shorts
17,2.17,4.95,6.33,9.0,9.39,61.6,Medium,YouTube Shorts
34,0.98,3.34,6.85,6.13,6.74,84.37,Low,Instagram Reels
38,0.51,9.72,6.54,2.71,8.25,47.11,High,YouTube Shorts
36,2.97,4.17,8.57,9.77,1.22,71.97,Medium,TikTok
38,5.1,4.24,7.84,8.97,4.05,91.26,Medium,YouTube Shorts
15,3.65,4.75,8.92,5.24,5.13,52.1,High,Instagram Reels
38,6.0,7.87,6.38,3.19,6.29,55.87,Medium,TikTok
34,2.08,8.6,4.42,3.0,2.71,79.64,Low,TikTok
25,2.04,2.18,8.78,8.25,5.48,86.36,Medium,TikTok
31,1.38,4.42,4.02,1.62,7.17,57.0,Medium,Instagram Reels
22,1.4,6.31,7.88,6.74,4.11,61.59,Medium,Instagram Reels
