Name,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,
Super Mario Galaxy 2,2010,Platform,7.51,97,9.1,E,
Super Mario Bros. 2,1988,Platform,7.46,,,,
Call of Duty: Black Ops 3,2015,Shooter,7.39,,,,
Call of Duty: World at War,2008,Shooter,7.38,84,7.6,M,
Battlefield 3,2011,Shooter,7.32,84,7.4,M,
Need for Speed Underground,2003,Racing,7.2,85,8.6,E,
Just Dance,2009,Misc,7.2,49,8,E10+,
Battlefield 3,2011,Shooter,7.17,85,7.5,M,
Fallout 4,2015,Role-Playing,7.16,87,6.5,M,
Tekken 3,1998,Fighting,7.16,96,9.1,T,
The Legend of Zelda: Twilight Princess,2006,Action,7.15,95,9,T,
Pokemon Sun/Moon,2016,Role-Playing,7.14,,,,
Crash Bandicoot 3: Warped,1998,Platform,7.13,91,8.9,E,
Mario Kart 8,2014,Racing,7.09,88,9.1,E,
Super Smash Bros. Melee,2001,Fighting,7.07,92,9.1,T,
Mario Kart: Double Dash!!,2003,Racing,6.95,,,,
Need for Speed Underground 2,2004,Racing,6.9,82,8.6,E,
Medal of Honor: Frontline,2002,Shooter,6.83,88,8.5,T,
Crash Bandicoot,1996,Platform,6.82,,,,
Just Dance 4,2012,Misc,6.76,74,7.3,E10+,
Gears of War 2,2008,Shooter,6.75,93,7.7,M,
Uncharted 3: Drake's Deception,2011,Action,6.74,92,8.3,T,
Zumba Fitness,2010,Sports,6.71,,,E,
Call of Duty 4: Modern Warfare,2007,Shooter,6.68,94,8.4,M,
Uncharted 2: Among Thieves,2009,Action,6.66,96,8.8,T,
FIFA 12,2011,Sports,6.65,,,,
Big Brain Academy,2005,Misc,6.62,74,7.4,E,
The Legend of Zelda,1986,Action,6.51,,,,
Red Dead Redemption,2010,Action,6.49,95,8.8,M,
FIFA 14,2013,Sports,6.47,86,4.3,E,
Assassin's Creed III,2012,Action,6.45,85,6.9,M,
Donkey Kong Country Returns,2010,Platform,6.44,87,8.6,E,
Halo: Combat Evolved,2001,Shooter,6.43,97,8.6,M,
The Elder Scrolls V: Skyrim,2011,Role-Playing,6.41,92,6.4,M,
Pokémon Emerald Version,2004,Role-Playing,6.41,76,9,E,
Kingdom Hearts,2002,Role-Playing,6.4,85,8.8,E,
Pokémon Crystal Version,2000,Role-Playing,6.39,,,,
Halo 3: ODST,2009,Shooter,6.34,83,7.1,M,
Red Dead Redemption,2010,Action,6.32,95,9,M,
Super Mario Sunshine,2002,Platform,6.31,92,8.6,E,
Street Fighter II: The World Warrior,1992,Fighting,6.3,,,,
World of Warcraft,2004,Role-Playing,6.29,93,7.3,T,
Driver,1999,Action,6.27,87,8.1,T,
Gears of War 3,2011,Shooter,6.21,91,7.8,M,
Kinect Sports,2010,Sports,6.19,73,7.4,E10+,
Gears of War,2006,Shooter,6.09,94,8.3,M,
FIFA 15,2014,Sports,6.08,82,5.7,E,
Metal Gear Solid 2: Sons of Liberty,2001,Action,6.05,96,8.7,M,
Sonic the Hedgehog 2,1992,Platform,6.03,,,,
Metal Gear Solid,1998,Action,6.03,94,9.4,M,
Metal Gear Solid 4: Guns of the Patriots,2008,Action,5.99,94,8.7,M,
Final Fantasy XII,2006,Role-Playing,5.95,92,7.6,T,
The Last of Us,2013,Action,5.87,95,9.1,M,
LittleBigPlanet,2008,Platform,5.82,95,6.8,E,
Resident Evil 2,1998,Action,5.82,89,9.2,M,
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,5.78,87,8.8,E10+,
Tekken 2,1996,Fighting,5.74,89,8.9,T,
Destiny,2014,Shooter,5.64,76,6.1,T,
LEGO Star Wars: The Complete Saga,2007,Action,5.64,80,8.9,E10+,
Cooking Mama,2006,Simulation,5.63,67,7.2,E,
Tetris,1988,Puzzle,5.58,,,,
Super Smash Bros.,1999,Fighting,5.55,,,,
Assassin's Creed II,2009,Action,5.55,91,8.6,M,
Assassin's Creed,2007,Adventure,5.54,81,7.7,M,
Forza Motorsport 3,2009,Racing,5.49,92,8,E,
Super Mario Advance,2001,Platform,5.49,84,7.8,E,
Monster Hunter Freedom Unite,2008,Role-Playing,5.48,81,8.7,T,
Batman: Arkham City,2011,Action,5.48,96,8.6,T,
Grand Theft Auto V,2014,Action,5.48,97,7.9,M,
Mario Kart: Super Circuit,2001,Racing,5.47,93,8.3,E,
Super Mario World,2001,Platform,5.46,,,,
Pokemon Stadium,1999,Strategy,5.45,,,,
Crash Bandicoot: The Wrath of Cortex,2001,Platform,5.42,66,7.1,E,
Call of Duty: World at War,2008,Shooter,5.39,85,7.6,M,
Uncharted 4: A Thief's End,2016,Shooter,5.38,93,7.9,T,
Dr. Mario,1989,Puzzle,5.34,,,,
Final Fantasy XIII,2009,Role-Playing,5.33,83,7.3,T,
Pokemon Pinball,1999,Misc,5.31,,,,
Final Fantasy IX,2000,Role-Playing,5.3,94,8.9,T,
Assassin's Creed III,2012,Action,5.29,84,6.7,M,
Final Fantasy X-2,2003,Role-Playing,5.29,85,6.6,T,
Donkey Kong 64,1999,Platform,5.27,,,,
Call of Duty: Advanced Warfare,2014,Shooter,5.27,81,5.4,M,
Minecraft,2014,Misc,5.26,,,,
Assassin's Creed II,2009,Action,5.26,90,8.8,M,
Tomb Raider II,1997,Action,5.24,85,,T,
Madden NFL 2004,N/A,Sports,5.23,94,8.5,E,
Tomodachi Life,2013,Simulation,5.23,,,,
New Super Mario Bros. U,2012,Platform,5.22,84,8.1,E,
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,5.21,89,8.8,T,
Super Mario Bros. 3,2003,Platform,5.2,,,,
Professor Layton and the Curious Village,2007,Puzzle,5.19,85,8.6,E,
Super Mario Land 3: Wario Land,1994,Platform,5.19,,,,
FIFA Soccer 13,2012,Action,5.16,90,6.1,E,
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,5.15,,,,
Diablo III,2012,Role-Playing,5.14,88,4,M,
Medal of Honor: Rising Sun,2003,Shooter,5.13,68,7.6,T,
Kirby's Dream Land,1992,Platform,5.13,,,,
Microsoft Flight Simulator,1996,Simulation,5.12,,,,
Guitar Hero II,2006,Misc,5.12,92,8.5,T,
Fable III,2010,Role-Playing,5.1,80,6.5,M,
Mario & Sonic at the Olympic Games,2008,Sports,5.09,,,,
Resident Evil 5,2009,Action,5.09,84,7.5,M,
The Legend of Zelda: Phantom Hourglass,2007,Action,5.08,90,8,E,
Super Mario Bros.,1999,Platform,5.07,,,,
FIFA Soccer 11,2010,Sports,5.07,89,8,E,
Resident Evil,1996,Action,5.05,91,9,M,
Grand Theft Auto: Vice City Stories,2006,Action,5.03,86,8,M,
Tony Hawk's Pro Skater,1999,Sports,5.02,92,9.2,T,
Warzone 2100,1999,Strategy,5.01,,,,
Spyro the Dragon,1998,Platform,5,,,,
Guitar Hero III: Legends of Rock,2007,Misc,4.98,82,8.2,T,
Link's Crossbow Training,2007,Shooter,4.98,68,7.1,T,
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,4.93,,,,
Fallout 3,2008,Role-Playing,4.93,93,8.5,M,
Uncharted: Drake's Fortune,2007,Action,4.92,88,8.1,T,
Madden NFL 06,2005,Sports,4.91,88,8,E,
Diddy Kong Racing,1997,Racing,4.88,,,,
Monster Hunter Freedom 3,2010,Role-Playing,4.87,,,,
Super Smash Bros. for Wii U and 3DS,2014,Fighting,4.87,,,,
Dr. Mario,1990,Puzzle,4.85,,,,
StarCraft II: Wings of Liberty,2010,Strategy,4.84,93,8.2,T,
Assassin's Creed,2007,Adventure,4.82,81,7.3,M,
God of War III,2010,Action,4.8,92,8.7,M,
Crash Team Racing,1999,Racing,4.79,88,9,E,
LEGO Star Wars: The Complete Saga,2007,Action,4.76,80,5.4,E,
Driver 2,2000,Action,4.73,62,7.7,T,
Batman: Arkham City,2011,Action,4.73,94,8.7,T,
The Last of Us,2014,Action,4.71,,,,
The Simpsons: Hit & Run,2003,Racing,4.7,,,,
Tony Hawk's Pro Skater 2,2000,Sports,4.68,98,7.7,T,
The Lord of the Rings: The Two Towers,2002,Action,4.67,82,8.2,T,
Tomb Raider,1996,Action,4.63,91,8.6,T,
Animal Crossing: City Folk,2008,Simulation,4.62,73,7.6,E,
Uncharted: The Nathan Drake Collection,2015,Action,4.62,86,8.1,T,
The Legend of Zelda: A Link to the Past,1991,Action,4.61,,,,
The Legend of Zelda: The Wind Waker,2002,Action,4.6,96,8.9,E,
Guitar Hero III: Legends of Rock,2007,Misc,4.6,86,8.4,T,
Luigi's Mansion: Dark Moon,2013,Action,4.59,86,8.4,E,
Forza Motorsport 4,2011,Racing,4.57,91,8.2,E,
Mario & Sonic at the Olympic Winter Games,2009,Sports,4.53,,,,
Madden NFL 2005,2004,Sports,4.53,91,7.9,E,
Guitar Hero III: Legends of Rock,2007,Misc,4.53,85,7.9,T,
Pitfall!,1981,Platform,4.5,,,,
Madden NFL 07,2006,Sports,4.49,84,8.2,E,
Halo 5: Guardians,2015,Shooter,4.48,84,6.4,T,
Spider-Man: The Movie,2002,Action,4.48,76,7.9,E,
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,4.47,,,,
Call of Duty: Infinite Warfare,2016,Shooter,4.46,77,3.4,M,
God of War,2005,Action,4.45,94,8.9,M,
Splatoon,2015,Shooter,4.43,81,8.5,E10+,
Nintendo Land,2012,Misc,4.42,77,7.9,E10+,
Tony Hawk's Pro Skater 3,2001,Sports,4.41,97,7.5,T,
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,4.39,86,8.9,E,
The Elder Scrolls IV: Oblivion,2006,Role-Playing,4.38,94,8.7,M,
Zelda II: The Adventure of Link,1987,Adventure,4.38,,,,
Need for Speed: Most Wanted,2005,Racing,4.37,82,9.1,T,
Michael Jackson: The Experience,2010,Misc,4.36,56,8.3,E10+,
Call of Duty: Advanced Warfare,2014,Shooter,4.36,,4.8,M,
Resistance: Fall of Man,2006,Shooter,4.34,86,8.1,M,
Sonic the Hedgehog,1991,Platform,4.34,,,,
Kingdom Hearts II,2005,Role-Playing,4.33,87,9,E10+,
The Legend of Zelda: Ocarina of Time,2011,Action,4.33,,,,
Super Mario 3D World,2013,Platform,4.32,93,9,E,
Minecraft,2014,Misc,4.32,,,,
Asteroids,1980,Shooter,4.31,,,,
Call of Duty: Advanced Warfare,2014,Shooter,4.29,,4.9,M,
FIFA 15,2014,Sports,4.28,,4.5,E,
Fable II,2008,Role-Playing,4.27,89,6.5,M,
Namco Museum,2001,Misc,4.24,79,7.3,E,
Batman: Arkham Asylum,2009,Action,4.23,91,8.9,T,
Metal Gear Solid 3: Snake Eater,2004,Action,4.23,91,9.3,M,
Assassin's Creed: Revelations,2011,Action,4.22,80,7.5,M,
Fallout 4,2015,Role-Playing,4.22,88,6.2,M,
FIFA 14,2013,Sports,4.22,84,4.2,E,
Daxter,2006,Platform,4.21,85,8.7,E10+,
Warcraft II: Tides of Darkness,1995,Strategy,4.21,,,,
FIFA Soccer 06,2005,Sports,4.21,80,7.8,E,
EyeToy Play,2003,Misc,4.2,80,7.5,E,
Gran Turismo 5 Prologue,2007,Racing,4.19,80,7.1,E,
Assassin's Creed: Revelations,2011,Action,4.19,80,7.2,M,
FIFA 12,2011,Sports,4.18,,,,
Teenage Mutant Ninja Turtles,1989,Action,4.17,,,,
Street Fighter IV,2009,Fighting,4.16,94,7.3,T,
Excitebike,1984,Racing,4.16,,,,
Frogger,1997,Action,4.16,,,,
Madden NFL 2003,2002,Sports,4.14,95,7.7,E,
Half-Life,1997,Shooter,4.12,96,9.1,M,
Super Mario World 2: Yoshi's Island,1995,Platform,4.12,,,,
FIFA Soccer 07,2006,Sports,4.11,,,,
Street Fighter II Turbo,1992,Fighting,4.1,,,,
World of Warcraft: The Burning Crusade,2007,Role-Playing,4.09,91,7.9,T,
Battlefield 1,2016,Shooter,4.08,88,8.4,M,
God of War II,2007,Action,4.07,93,8.9,M,
World Soccer Winning Eleven 9,2005,Sports,4.06,,8.2,E,
Fallout: New Vegas,2010,Role-Playing,4.05,84,8.1,M,
Forza Motorsport 2,2007,Racing,4.05,90,8.3,E,
Carnival Games,2007,Misc,4.05,56,6,E,
Watch Dogs,2014,Action,4.05,80,6.3,M,
Namco Museum Vol.3,1996,Misc,4.05,,,,
Tekken Tag Tournament,2000,Fighting,4.05,85,8.5,T,
Far Cry 4,2014,Shooter,4.04,85,7.7,M,
Star Fox 64,1997,Shooter,4.03,,,,
Golf,1984,Sports,4.01,,,,
Namco Museum: 50th Anniversary,2005,Misc,3.98,61,,E10+,
Left 4 Dead 2,2009,Shooter,3.97,89,8.6,M,
The Witcher 3: Wild Hunt,2015,Role-Playing,3.97,92,9.2,M,
Assassin's Creed: Unity,2014,Action,3.96,70,4.9,M,
Batman: Arkham Knight,2015,Action,3.95,87,7.6,M,
The Legend of Zelda: Skyward Sword,2011,Action,3.95,93,8,E10+,
Fallout 3,2008,Role-Playing,3.94,90,8,M,
Professor Layton and the Diabolical Box,2007,Puzzle,3.94,84,8.8,E10+,
Donkey Kong Land,1994,Platform,3.91,,,,
EA Sports Active,2009,Sports,3.9,81,8.7,E,
Tony Hawk's Underground,2003,Sports,3.9,90,8.7,T,
Monster Hunter 4 Ultimate,2014,Role-Playing,3.89,86,8.7,T,
The Elder Scrolls V: Skyrim,2011,Role-Playing,3.88,94,8.1,M,
NBA 2K16,2015,Sports,3.88,87,6.7,E10+,
Tekken 5,2005,Fighting,3.87,88,8.6,T,
Dragon Warrior III,1988,Role-Playing,3.87,,,,
MotorStorm,2006,Racing,3.87,84,7.4,T,
Nintendogs + cats,2011,Simulation,3.85,,,,
World Soccer Winning Eleven 8 International,2004,Sports,3.85,91,9.1,E,
Sports Champions,2010,Sports,3.84,76,7.9,E10+,
Namco Museum Vol.1,1995,Misc,3.84,,,,
The Legend of Zelda: Link's Awakening,1992,Action,3.83,,,,
Call of Duty: Ghosts,2013,Shooter,3.83,78,3.7,M,
Flash Focus: Vision Training in Minutes a Day,2007,Misc,3.83,59,4,E,
Tom Clancy's The Division,2016,Shooter,3.8,80,7,M,
Big Brain Academy: Wii Degree,2007,Misc,3.79,68,6.9,E,
Resident Evil Director's Cut,1996,Action,3.77,,,,
Mario & Luigi: Bowser's Inside Story,2009,Role-Playing,3.77,,,,
LEGO Indiana Jones: The Original Adventures,2008,Action,3.76,77,7.5,E10+,
The Sims: Unleashed,2002,Simulation,3.76,79,8,T,
Ratchet & Clank: Size Matters,2007,Platform,3.74,,,,
Harry Potter and the Sorcerer's Stone,2001,Action,3.73,64,7.5,E,
Mario & Sonic at the London 2012 Olympic Games,2011,Sports,3.72,,,,
Resident Evil 3: Nemesis,1999,Action,3.72,,,,
Super Paper Mario,2007,Platform,3.71,85,7.9,E,
Spyro: Year of the Dragon,2000,Platform,3.71,91,8.8,E,
Assassin's Creed IV: Black Flag,2013,Action,3.71,88,8.1,M,
FIFA Soccer 2005,2004,Sports,3.7,81,7.6,E,
Pokémon Trading Card Game,1998,Strategy,3.7,,,,
Friend Collection,2009,Misc,3.67,,,,
Tony Hawk's Pro Skater 4,2002,Sports,3.67,94,8.5,T,
Star Wars Battlefront (2015),2015,Shooter,3.66,,,,
MySims,2007,Simulation,3.66,67,7.3,E,
Midnight Club 3: DUB Edition,2005,Racing,3.65,74,8.4,E10+,
Banjo-Kazooie,1998,Platform,3.65,,,,
SOCOM: U.S. Navy SEALs,2002,Shooter,3.65,82,7.9,M,
Jak and Daxter: The Precursor Legacy,2001,Platform,3.64,90,8.7,E,
Pokemon Snap,1999,Simulation,3.63,,,,
Pro Evolution Soccer 2008,2007,Sports,3.63,82,7.9,E,
Resident Evil 4,2005,Action,3.62,96,8.9,M,
Guitar Hero: World Tour,2008,Misc,3.62,86,7.6,T,
FIFA Soccer 10,2009,Sports,3.62,91,7.6,E,
Star Wars: Battlefront,2004,Shooter,3.61,82,8.7,T,
Doom II: Hell on Earth,1994,Shooter,3.61,,,,
The Simpsons: Road Rage,2001,Racing,3.61,64,7.7,T,
Luigi's Mansion,2001,Action,3.6,78,8.5,E,
Battlefield 4,2013,Shooter,3.59,85,6.9,M,
Star Wars: Battlefront II,2005,Shooter,3.59,84,9,T,
Just Dance 2014,2013,Misc,3.59,,6.2,E10+,
Cooking Mama 2: Dinner With Friends,2007,Simulation,3.58,70,8,E,
WWF SmackDown!,2000,Fighting,3.58,,,,
Croc: Legend of the Gobbos,1997,Platform,3.56,,,,
Grand Theft Auto: Liberty City Stories,2006,Action,3.54,78,7.8,M,
The Getaway,2002,Action,3.54,72,6.8,M,
Tomb Raider III: Adventures of Lara Croft,1997,Action,3.54,,,,
James Bond 007: Agent Under Fire,2001,Shooter,3.53,72,7.9,T,
LEGO Star Wars: The Video Game,2005,Action,3.53,,,,
Rugrats in Paris: The Movie,2000,Action,3.52,,,,
FIFA Soccer 11,2010,Sports,3.52,88,7.5,E,
Spyro 2: Ripto's Rage!,1999,Platform,3.52,,,,
Left 4 Dead,2008,Shooter,3.51,89,7.9,M,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Platform,3.51,,,,
Assassin's Creed: Unity,2014,Action,3.5,72,4.1,M,
Kung Fu,1985,Action,3.5,,,,
Resident Evil 5,2009,Action,3.5,83,7.5,M,
Assassin's Creed: Brotherhood,2010,Action,3.49,89,8.3,M,
FIFA Soccer 2004,N/A,Sports,3.49,84,6.4,E,
Battlefield 4,2013,Shooter,3.49,80,5.8,M,
Batman: Arkham Asylum,2009,Action,3.48,92,8.7,T,
Battlefield 4,2013,Shooter,3.48,79,5.6,M,
Battlefield: Bad Company 2,2010,Shooter,3.47,88,8.6,M,
Mario & Sonic at the Olympic Winter Games,2009,Sports,3.46,,,,
Guitar Hero: On Tour,2008,Misc,3.46,71,8.8,E10+,
Clubhouse Games,2006,Misc,3.45,83,8.4,E,
Monster Hunter 4,2013,Role-Playing,3.44,,,,
Borderlands,2009,Shooter,3.44,84,8.2,M,
Tekken 4,2002,Fighting,3.44,79,8.3,T,
Final Fantasy III,1994,Role-Playing,3.42,,,,
Grand Theft Auto 2,1998,Action,3.42,70,8,T,
Metal Gear Solid V: The Phantom Pain,2015,Action,3.41,93,8.2,M,
Spider-Man 2,2004,Action,3.41,80,8.9,T,
F-1 Race,1990,Racing,3.41,,,,
FIFA Soccer 2003,2002,Sports,3.4,88,6.7,E,
LittleBigPlanet 2,2011,Platform,3.39,91,8.4,E,
Crash Bash,2000,Misc,3.39,68,8.2,E,
Assassin's Creed Syndicate,2015,Action,3.39,76,6.8,M,
LEGO Batman: The Videogame,2008,Action,3.38,76,7.9,E10+,
Destiny,2014,Shooter,3.37,75,5.5,T,
WWF War Zone,1998,Fighting,3.36,,,,
The Legend of Zelda: Majora's Mask,2000,Action,3.36,,,,
Far Cry 3,2012,Shooter,3.35,90,8.5,M,
Rugrats: Search For Reptar,1998,Adventure,3.34,,,,
English Training: Have Fun Improving Your Skills!,2006,Misc,3.33,,,,
James Bond 007: Nightfire,2002,Shooter,3.33,77,8.5,T,
Ratchet & Clank,2002,Platform,3.33,,,,
Monster Hunter X,2015,Action,3.32,,,,
Star Wars Episode III: Revenge of the Sith,2005,Action,3.32,60,7.2,T,
The Legend of Zelda: Spirit Tracks,2009,Action,3.31,87,7.8,E10+,
Max Payne,2001,Shooter,3.31,80,8.5,M,
Assassin's Creed IV: Black Flag,2013,Action,3.3,86,7.9,M,
The Lord of the Rings: The Return of the King,2003,Action,3.28,85,8.7,T,
Yokai Watch 2 Ganso/Honke,2014,Role-Playing,3.28,,,,
Gears of War: Ultimate Edition,2015,Shooter,3.28,82,7.5,M,
True Crime: Streets of LA,2003,Action,3.27,77,8,M,
Professor Layton and the Unwound Future,2008,Puzzle,3.26,86,9.2,E10+,
Gran Turismo (PSP),2009,Racing,3.25,,,,
FIFA 16,2015,Sports,3.25,84,4.4,E,
Wii Music,2008,Misc,3.25,63,4.6,E,
Tekken,1995,Fighting,3.24,,,,
Madden NFL 16,2015,Sports,3.24,83,5.9,E,
Gran Turismo 6,2013,Racing,3.23,81,7.7,E,
Halo: The Master Chief Collection,2014,Shooter,3.23,85,7.2,M,
007: Tomorrow Never Dies,1999,Shooter,3.21,,,,
Super Mario Maker,2015,Platform,3.21,88,8.7,E,
WWF SmackDown! 2: Know Your Role,2000,Fighting,3.2,,,,
Baseball,1983,Sports,3.2,,,,
Killer Instinct,1995,Fighting,3.2,,,,
Dragon Quest VI: Maboroshi no Daichi,1995,Role-Playing,3.19,,,,
God of War: Chains of Olympus,2008,Action,3.18,91,8.6,M,
Enter the Matrix,2003,Action,3.18,62,8.1,T,
Crisis Core: Final Fantasy VII,2007,Role-Playing,3.18,83,8,T,
Dance Central,2010,Misc,3.17,82,7.6,T,
L.A. Noire,2011,Adventure,3.17,89,7.7,M,
Ace Combat 04: Shattered Skies,2001,Simulation,3.17,89,9.1,E,
Animal Crossing,2001,Simulation,3.15,87,8.9,E,
FIFA Soccer 08,2007,Sports,3.14,83,6.5,E,
Club Penguin: Elite Penguin Force,2008,Adventure,3.14,,8,E,
Spider-Man,2000,Action,3.13,87,9,E,
Mario Party 9,2012,Misc,3.13,73,6.8,E,
Need for Speed III: Hot Pursuit,1998,Racing,3.12,88,,E,
Star Wars Episode I Racer,1999,Racing,3.12,,,,
Sonic Rush,2005,Platform,3.12,82,8.5,E,
Dragon Warrior IV,1990,Role-Playing,3.12,,,,
Rhythm Heaven,2008,Misc,3.11,83,9,E,
Fallout: New Vegas,2010,Role-Playing,3.11,82,7.8,M,
Personal Trainer: Cooking,2006,Misc,3.11,81,7.8,E,
The Elder Scrolls IV: Oblivion,2007,Role-Playing,3.1,93,8,M,
